product_id,product_name
960173935,Budweiser Beer In Bottle - 32 Fl. Oz.
960144083,Budweiser Beer In Bottles - 20-16 Fl. Oz.
960056824,Budweiser Beer In Cans - 20-12 Fl. Oz.
960044392,Budweiser Beer In Cans - 8-16 Fl. Oz.
66a8c4d5-8550-5b63-ba0e-5fbe455e72b2,Budweiser Beer Lager (36 x 12 fl oz)
816646030,"Budweiser Beer, 12 Pack 16 fl. oz. Aluminum Cans, 5% ABV, Domestic Lager"
22563306,"Budweiser Beer, 12 Pack 8 fl. oz. Cans, 5.0% ABV, Domestic"
19500058,"Budweiser Beer, 15 Pack 16 fl. oz. Aluminum Bottles, 5% ABV, Domestic Lager, 5.0% ABV"
153760167,"Budweiser Beer, 15 Pack 16 fl. oz. Aluminum Cans, 5.0% ABV, Domestic Lager"
19500047,"Budweiser Beer, 15 Pack Beer, 12 fl oz Aluminum Cans, 5 % ABV, Domestic Lager"
22790201,"Budweiser Beer, 18 Pack 16 fl. oz. Aluminum Cans, 5.0% ABV, Domestic Lager"
10984475,"Budweiser Beer, 18 Pack Beer, 12 fl oz Glass Bottles, 5.0% ABV, Domestic Lager"
15610328,"Budweiser Beer, 20 Pack Beer, 12 fl oz Aluminum Cans, 5.0 % ABV, Domestic Lager"
47064312,"Budweiser Beer, 20 Pack Beer, 16 fl oz Glass Bottles, 5% ABV, Domestic Lager"
15610327,"Budweiser Beer, 24 Pack 10 fl. oz. Aluminum Cans, 5.0% ABV, Domestic Lager"
42294354,"Budweiser Beer, 24 Pack 16 fl. oz. Aluminum Cans, 5.0% ABV, Domestic Lager"
22563300,"Budweiser Beer, 4 Pack 16 fl. oz. Aluminum Cans, 5% ABV, Domestic Lager"
15611245,"Budweiser Beer, 40 fl oz 1 Glass Bottle, Domestic Lager, 5% ABV"
20864304,"Budweiser Beer, 6 Pack Beer, 12 fl oz Aluminum Cans, 5 % ABV, Domestic Lager"
19500042,"Budweiser Beer, 8 Pack Beer, 16 fl oz Aluminum Cans, 5.0 % ABV, Domestic Lager"
8943706082,Budweiser Bottle
960088313,Budweiser Chelada Picante Beer Can - 25 Fl. Oz.
0001820025510,Budweiser Chelada Picante Beer Single Can 25 fl oz
227385740-1,Budweiser Chelada Picante-25oz Can
1729915,Budweiser Chelada with Clamato Lager Beer - Original 25 oz
1729923,Budweiser Chelada with Clamato Lager Beer - Picante 25 oz
46870233-1,Budweiser Chelada-25oz Can
8ee9d0d4-519c-5bbf-a1a2-fc9f38e6d675,Budweiser Domestic Lager Beer (30 x 12 fl oz)
4330097083,Budweiser Genuine American Style Lager Cans (12 oz x 12 ct)
960088276,Budweiser Genuine Lager Beer In Cans - 3-25 Fl. Oz.
217965922-1,Budweiser Gift Pack-12oz 6-Pack Bottle Gift
15490901-3,Budweiser Keg-1/2 Keg
f327963e-d2ac-5347-b97d-8d64af4ca863,Budweiser King Of Beer (6 x 12 fl oz)
96c157d0-d33a-50e8-a33b-b57c0b9ff171,Budweiser King Of Beers Domestic Lager Beer (12 x 16 fl oz)
f69a1483-b43f-5567-b3ff-1bbcbceb8015,Budweiser King Of Beers Lager Beer (12 x 16 fl oz)
30953732812,Budweiser King of Beers American Lager Bottles
10107216512,Budweiser King of Beers American Lager Bottles
34122069270,Budweiser King of Beers American Lager Cans
22322650764,Budweiser King of Beers American Lager Cans
ce80ca9b-55b3-5f22-91a3-c2ace50467a1,"Budweiser Lager Beer (12 fl oz, 24 ct)"
2f4f5d7b-4468-55e4-bb3f-210efc5445d5,Budweiser Lager Beer (24 x 12 fl oz)
3f7447f3-b48a-5fe8-b9a4-fb9e006edd18,Budweiser Lager Beer (3 x 25 fl oz)
5e3e6e28-a865-5ff1-9547-de084dfffcbf,Budweiser Lager Beer (30 x 12 fl oz)
c18a8d6d-5be8-502a-8772-5a566c2f8dbd,Budweiser Lager Beer (6 x 16 fl oz)
0001820011030,Budweiser Lager Beer 30 pk / 12 fl oz
15611240,"Budweiser Lager Beer 32 fl oz 1 Glass Bottle, Domestic Lager, 5% ABV"
16306364,Budweiser Lager Beer 6 Pack
0001820096539,Budweiser Lager Beer Aluminum Bottles 15 pk / 16 fl oz
960074656,Budweiser Lager Beer Bottles - 15-16 Fl. Oz.
960507112,Budweiser Lager Beer In Cans - 12-10 Fl. Oz.
960507113,Budweiser Lager Beer In Cans - 24-10 Fl. Oz.
970492848,Budweiser Lager Beer Keg - 15.5 Gallon
